Category	Book	Level Range / Style	Recipes Taught	Proficiencies
Rifles	Modern Rifleman	0-1	.223 Remington, black powder (2); .223 Remington, reloaded (2); .270 Winchester FMJ, black powder (3); .270 Winchester FMJ, reloaded (3); .270 Winchester JSP, black powder (3); .270 Winchester JSP, reloaded (3); .30 Carbine JSP, black powder (4); .30 Carbine JSP, matchhead powder (4); .30 Carbine JSP, reloaded (4); .30 Carbine, black powder (4); .30 Carbine, matchhead powder (4); .30 Carbine, reloaded (4); .30-06 5-round clip (3); .30-06 FMJ, black powder (4); .30-06 FMJ, reloaded (4); .30-06 JSP, black powder (4); .30-06 JSP, reloaded (4); .30-06 M2 AP, black powder (4); .30-06 M2 AP, reloaded (4); .300 AAC Blackout subsonic, black powder (4); .300 AAC Blackout subsonic, reloaded (4); .300 AAC Blackout, black powder (4); .300 AAC Blackout, reloaded (4); .300 Winchester Magnum, black powder (5); .300 Winchester Magnum, reloaded (5); .308 Winchester, black powder (4); .308 Winchester, reloaded (4); .45-70 +P penetrator, reloaded (4); .45-70 LFN, black powder (4); .45-70 LFN, reloaded (4); .45-70 SP, reloaded (4); .450 Bushmaster FTX, black powder (4); .450 Bushmaster FTX, reloaded (4); .450 Bushmaster Xtreme Hunter, black powder (4); .450 Xtreme Hunter, reloaded (4); .50 Beowulf XTP, black powder (4); .50 Beowulf XTP, reloaded (4); .50 Beowulf Xtreme Penetrator, black powder (4); .50 Beowulf Xtreme Penetrator, reloaded (4); 4.6x30mm, black powder (4); 4.6x30mm, reloaded (4); 5.45x39mm AP, black powder (3); 5.45x39mm AP, reloaded (3); 5.45x39mm, black powder (3); 5.45x39mm, reloaded (3); 5.56 NATO, black powder (4); 5.56 NATO, reloaded (4); 5.7x28mm, reloaded (4); 7.62x39mm 10-round clip (3); 7.62x39mm FMJ, black powder (3); 7.62x39mm FMJ, reloaded (3); 7.62x39mm JHP, black powder (3); 7.62x39mm JHP, reloaded (3); 7.62x51mm, black powder (4); 7.62x51mm, reloaded (4); 7.62x54mmR 5-round clip (3); 7.62x54mmR, black powder (4); 7.62x54mmR, reloaded (4); bottom mount (4); flintlock carbine (6); flintlock musket (6); flintlock rifle (6); handmade double-barrel flintlock (3); handmade double-barrel flintlock (4); iron sights (3); large rifle primer (3); launcher sights mount (4); M1 Garand 8-round clip (3); offset iron sights (4); pipe cleaner (0); pistol sights mount (4); replaceable furniture kit (4); replaceable stock kit (4); retooled STANAG 20-round magazine (2); retooled STANAG 20-round magazine with ranger plate (2); retooled STANAG 30-round magazine (2); retooled STANAG 30-round magazine with ranger plate (2); side mount (4); sights mount (4); small game rifle 19-round tube loader (3); small rifle primer (3); speedloader chute, 4-round breaching shotgun (4); speedloader chute, 5-round hunting shotgun (4); speedloader chute, 6-round combat shotgun (4); speedloader chute, 8-round auto-loading shotgun (4); speedloader chute, 9-round combat shotgun (4); speedloader chute, Benelli Super (4)	
Rifles	retool instructions	0-1		
Science	Advanced Physical Chemistry	5-7	acetic acid (2); acetic acid (6); acetic anhydride (5); acetone (4); acid soaked hide (3); antifungal drug (4); aspirin (2); baking soda (5); basic chemistry set (1); caffeine pill (7); calcium carbonate (1); calcium carbonate (4); calcium chloride (4); chemistry set (1); chloroform (4); citric acid (4); crack (4); diazepam (7); disposable watch battery (4); duct tape (3); dynamite (3); ether (7); ferric chloride (4); filter mask (4); formaldehyde (5); formic acid (2); formic acid (6); fungicide (2); gas mask (4); hard plating (6); heat pack (3); hemostatic powder (4); heroin (7); hydrochloric acid (2); hydrochloric acid (4); hydrochloric acid (6); insecticide (4); iodine crystals (3); ketene lamp (5); lead azide (7); liquid fertilizer (2); lye (3); lye (4); makeshift ammonia machine pipework (7); makeshift ammonia machine reactor (7); makeshift nitrogen generator (5); makeshift water electrolyzer (5); mercury fulminate (7); nitric acid (5); opium tar (2); oxidizer powder (4); oxycodone (6); potassium (4); potassium hydroxide (5); potassium iodide tablet (4); Prussian blue tablet (5); quicklime (3); rebreather mask (4); rebreather oxygen regenerator filler (4); rebreather scrubbing filler (4); red phosphorous (3); rubber cement (3); saline solution (4); smoke bomb (3); sodium (4); sodium carbonate (4); sodium carbonate (5); sprayable fungicide (4); sprayable insecticide (4); sprayable toxic gas (3); sugar (6); sugar (7); sulfuric acid (2); toluene (4); water purification tablet (5); white phosphorous (3)	Principles of Chemistry
Science	Art and Science of Chemical Warfare	4-6	acetylene (4); calcium carbide (4); filter mask (3); flamethrower fuel (2); gas mask (3); gelled gasoline (2); heavy survivor mask (9); improvised fungicide grenade (3); improvised gas grenade (3); improvised insecticide grenade (3); napalm (8); oxyacetylene (4); rebreather oxygen regenerator cartridge (4); rebreather oxygen regenerator filler (4); rebreather scrubber cartridge, air tank (4); rebreather scrubber cartridge, oxygen tank (4); rebreather scrubbing filler (4); red phosphorous (2); smoke bomb (2); sprayable fungicide (4); sprayable insecticide (4); sprayable toxic gas (3); survivor firemask (9); survivor half mask (9); survivor mask (9); white phosphorous (2)	
Science	Best Practices for Compound Delivery	6-8	aranean infusion (6); avian infusion (6); batrachian infusion (6); beast infusion (6); bovoid infusion (6); canine infusion (6); cephalopod infusion (6); chiropteran infusion (6); crustacean infusion (8); feline infusion (6); gastropod infusion (6); insect infusion (6); lagomorph infusion (6); medical infusion (7); medical sample (4); murine infusion (6); mutagen (5); mutagenic infusion (6); piscine infusion (6); plant infusion (6); purifier infusion (7); rattine infusion (6); reptilian infusion (6); slime infusion (6); troglobite infusion (6); ursine infusion (6)	
Science	Biodiesel: Renewable Fuel Resource	3-6	biodiesel (5)	
Science	Catalytic Cracking at Home for Solarpunks	5-7	kerosene (5)	
Science	chemical reference-CLASSIFIED	6-7	acetic acid (1); acetic acid (5); acetic anhydride (5); acetone (4); ANFO (5); antifungal drug (4); APEX (8); aspirin (2); baking soda (5); black gunpowder (4); caffeine pill (7); calcium carbonate (4); calcium chloride (4); chloroform (4); citric acid (4); crack (4); crystal meth (6); diazepam (6); epinephrine autoinjector (8); flashbang (5); formic acid (1); formic acid (5); fungicide (2); heroin (6); hexamine (5); HMTD (8); hydrochloric acid (1); hydrochloric acid (3); hydrochloric acid (5); hydrogen peroxide (3); hydrogen peroxide (concentrated) (4); improvised rocket fuel (4); insecticide (4); iodine crystals (3); ketene lamp (5); lead azide (7); liquid fertilizer (3); lye (3); makeshift ammonia machine pipework (7); makeshift ammonia machine reactor (7); makeshift nitrogen generator (5); makeshift water electrolyzer (5); medical sample (4); mercury fulminate (7); mutagen (5); mutagenic infusion (7); napalm (6); oxidizer powder (4); oxycodone (5); potassium iodide tablet (4); Prussian blue tablet (5); purifier (5); purifier infusion (7); RDX (8); rocket candy (3); saltpeter (4); sodium carbonate (4); sodium carbonate (5); sprayable fungicide (4); sprayable insecticide (4); sprayable toxic gas (3); sugar (6); sulfuric acid (1); water purification tablet (4)	
Science	Chemistry for Kids: Awesome Science Experiments that Really Work	0-3	aspirin (2); calcium carbonate (1); smoke bomb (2)	Principles of Chemistry
Science	chemistry textbook	3-6	acetic acid (2); acetic acid (6); acetic anhydride (6); acetone (5); acetylene (4); acid soaked hide (3); ANFO (7); antifungal drug (5); aspirin (2); baking soda (6); basic chemistry set (1); black gunpowder (5); calcium carbide (4); calcium carbonate (1); calcium carbonate (3); calcium chloride (5); chemistry set (1); chloroform (5); citric acid (5); copper pot (4); crack (4); denatured alcohol; diazepam (7); duct tape (3); dynamite (3); epinephrine autoinjector (8); ethanol; ether (4); filter mask (4); food dehydrator (5); formaldehyde (5); formic acid (2); formic acid (6); fungicide (2); gas mask (4); heat pack (3); heroin (7); hydrochloric acid (2); hydrochloric acid (3); hydrochloric acid (4); hydrochloric acid (6); hydrogen peroxide (3); hydrogen peroxide (concentrated) (4); improvised rocket fuel (5); incendiary (4); insecticide (4); iodine crystals (3); ketene lamp (6); liquid fertilizer (2); lye (3); nitric acid (5); opium tar (2); oxidizer powder (4); oxyacetylene (4); oxycodone (6); potassium (4); potassium hydroxide (4); potassium iodide tablet (4); Prussian blue tablet (6); quicklime (3); rebreather mask (4); rebreather oxygen regenerator filler (4); rebreather scrubbing filler (4); red phosphorous (3); rocket candy (5); rubber cement (3); saline solution (5); salt (4); saltpeter (4); smoke bomb (3); sodium (4); sodium carbonate (5); sodium carbonate (6); sprayable fungicide (4); sprayable insecticide (4); sprayable toxic gas (4); still (4); sugar (6); sugar (8); sulfuric acid (2); tanning fur pelt (4); tanning leather hide (4); tin powder (4); vegetable aspic (3); water purification tablet (5); white phosphorous (3); willowbark tea (4)	
Science	lab journal-Dionne	6-7	avian infusion (6); avian mutagen (6); batrachian infusion (6); batrachian mutagen (6); beast infusion (6); beast mutagen (5); beast sample (5); bovoid infusion (6); bovoid mutagen (6); canine infusion (6); canine mutagen (6); chimera sample (5); feline infusion (6); feline mutagen (6); lagomorph infusion (6); lagomorph mutagen (6); murine infusion (6); murine mutagen (6); mutagen (6); piscine infusion (6); piscine mutagen (6); reptilian infusion (6); reptilian mutagen (6); theropod sample (8); ursine infusion (6); ursine mutagen (6)	
Science	lab journal-Smythe	6-7	cephalopod infusion (6); cephalopod mutagen (6); chiropteran infusion (6); chiropteran mutagen (6); crustacean infusion (8); crustacean mutagen (8); gastropod infusion (6); gastropod mutagen (6); mutagen (6); plant infusion (6); plant mutagen (6); rattine infusion (6); rattine mutagen (6); slime infusion (6); slime mutagen (6); slime sample (6)	
Science	lab journal-x-|xp	6-7	aranean infusion (6); aranean mutagen (6); insect infusion (6); insect mutagen (6); mutagen (5); purifier (6); slime infusion (6); slime mutagen (6); slime sample (6); troglobite infusion (6); troglobite mutagen (6)	
Science	"PE023 ""Medical"": Application and Findings"	6-7	medical infusion (7); medical mutagen (7)	
Science	"PE050 ""Alpha"": Preliminary Report"	6-7	alpha infusion (7); alpha mutagen (7)	
Science	"PE065 ""Chimera"": Best Practices"	6-7	chimera infusion (6); chimera mutagen (7)	
Science	"PE070 ""Theropod"": Proposal"	8+	theropod infusion (7); theropod mutagen (7)	
Science	standpipe maintenance log	7+	sylvan infusion (8); sylvan mutagen (8); sylvan sample (6)	
Science	The Essential Oil Enthusiasts Handbook	4-6	cannabis distillate (4); cannabis shatter (4); cannabis wax (4); large closed loop extractor (5); makeshift essential oil extractor (3); plastic gasket set (2); recovery pump (3); small closed loop extractor (5)	
Science	The Modern Tanner	3-4	tanning fur pelt (4); tanning leather hide (4)	Principles of Leatherworking
Shotguns	Shotguns: The Art and Science	0-3	.410 000 shot, black powder (2); .410 000 shot, reloaded (2); .410 birdshot, black powder (2); .410 birdshot, reloaded (2); .410 slug, black powder (2); .410 slug, reloaded (2); .62 paper cartridge (3); 00 shot, black powder (2); 00 shot, reloaded (2); 12 gauge pistol (2); 12-gauge gatling gun (2); 40x46mm M118 buckshot, black powder (3); 40x46mm M118 buckshot, reloaded (3); 40x46mm M118 flechette, black powder (3); 40x46mm M118 flechette, reloaded (3); 40x46mm M118 slug, black powder (3); 40x46mm M118 slug, reloaded (3); 40x46mm M199 buckshot, black powder (3); 40x46mm M199 buckshot, reloaded (3); 40x46mm M199 flechette, black powder (3); 40x46mm M199 flechette, reloaded (3); 40x46mm M199 slug, black powder (3); 40x46mm M199 slug, reloaded (3); 40x53mm buckshot, black powder (3); 40x53mm buckshot, reloaded (3); 40x53mm flechette, black powder (3); 40x53mm flechette, reloaded (3); 40x53mm slug, black powder (3); 40x53mm slug, reloaded (3); adjustable stock (4); birdshot paper cartridge (3); birdshot, black powder (1); birdshot, reloaded (1); blunderbuss flechettes (2); blunderbuss scrap shot (2); blunderbuss shot (2); blunderbuss slug (2); bottom mount (4); buckshot paper cartridge (3); choke (4); compensator (4); double slam-fire pipe shotgun (1); dragon's breath shell, black powder (3); dragon's breath shell, reloaded (3); ergonomic grip (4); flechette shell, black powder (4); flechette shell, reloaded (4); folding stock (4); forward grip (4); hand press (2); iron sights (3); launcher sights mount (4); muzzle brake (5); offset iron sights (4); pipe cleaner (0); pistol sights mount (4); pyrotechnic paper cartridge (3); recoil stock (4); replaceable furniture kit (4); replaceable stock kit (4); revolving shotgun (2); shotgun primer (3); shotgun slug, black powder (3); shotgun slug, reloaded (3); side mount (4); sights mount (4); signal flare (2); slam-fire pipe shotgun (1); underslung shotgun (4); wax slug (3); wood forward grip (4)	
Shotguns	Trap and Field	0-1	bottom mount (4); iron sights (3); launcher sights mount (4); offset iron sights (4); pipe cleaner (0); pistol sights mount (4); replaceable furniture kit (4); replaceable stock kit (4); side mount (4); sights mount (4); speedloader chute, 4-round breaching shotgun (4); speedloader chute, 5-round hunting shotgun (4); speedloader chute, 6-round combat shotgun (4); speedloader chute, 8-round auto-loading shotgun (4); speedloader chute, 9-round combat shotgun (4); speedloader chute, Benelli Super (4); underslung shotgun (5)	
Socializing	Advanced Economics	3-6		
Socializing	Car Buyer's Guide	0-1		
Socializing	Dungeon Master's Guide	0-5		
Socializing	How to Succeed in Business	0-3		
Socializing	Nail Your Law Firm Interview	3-4		
Socializing	Principles of Effective Communication	3-6		
Socializing	Self-Esteem for Dummies	0-3		
Socializing	US Weekly	0-1		
Stabbing Weapons	Duelist's Annual	0-1		
Stabbing Weapons	FM 23-25 Army bayonet manual	0-3		
Stabbing Weapons	Spetsnaz Knife Techniques	1-4	dive knife (5); hunting knife (3); kukri (9); National Guard bayonet (4); pocket knife (3); punch dagger (3); switchblade (5); tanto (7); trench knife (4)	
Submachine Guns	Submachine Gun Enthusiast	0-1	bottom mount (4); iron sights (3); launcher sights mount (4); offset iron sights (4); pipe cleaner (0); pistol sights mount (4); replaceable furniture kit (4); replaceable stock kit (4); side mount (4); sights mount (4)	
Submachine Guns	The Submachine Gun Handbook	0-3	.38 Super FMJ, matchhead powder (1); .380 ACP +P, reloaded (3); .380 ACP FMJ, black powder (2); .380 ACP FMJ, matchhead powder (2); .380 ACP FMJ, reloaded (2); .380 ACP JHP, black powder (1); .380 ACP JHP, matchhead powder (1); .380 ACP JHP, reloaded (1); .45 ACP +P, reloaded (4); .45 ACP FMJ, black powder (3); .45 ACP JHP, black powder (2); .45 ACP JHP, matchhead powder (2); .45 ACP JHP, reloaded (2); .45 FMJ, matchhead powder (3); .45 FMJ, reloaded (3); 5.7x28mm, black powder (2); 9x19mm +P+, reloaded (4); 9x19mm +P, reloaded (3); 9x19mm FMJ, black powder (2); 9x19mm FMJ, matchhead powder (2); 9x19mm FMJ, reloaded (2); 9x19mm JHP, black powder (1); 9x19mm JHP, matchhead powder (1); 9x19mm JHP, reloaded (1); adjustable stock (4); bottom mount (4); compensator (4); ergonomic grip (4); folding stock (4); forward grip (4); hand press (2); iron sights (3); launcher sights mount (4); offset iron sights (4); pipe cleaner (0); pistol sights mount (4); pistol suppressor (4); recoil stock (4); replaceable furniture kit (4); replaceable stock kit (4); side mount (4); sights mount (4); TEC-9 full auto sear (5); wood forward grip (4)	
Tailoring	Beauty Magazine	0-1	straw fedora (1); sundress (1); turtleneck (1); turtleneck shirt (1)	
Tailoring	Boston AnimeCon magazine	0-1	costume dress (2); faux fur cat ears (3); faux fur cat tail (3); faux fur kitty collar (3); French maid hat (1); fur bikini top (1); fur kitty collar (3); fuzzy cat ears (3); fuzzy cat tail (3); leather bikini top (1); leather cat ears (3); leather cat tail (3); leather collar (3); skimpy costume dress (3); zentai (1)	Plastic Working; Principles of Leatherworking; Stretch Fabric
Tailoring	clothing designer's portfolio	5-8	boiled leather cow barding with caparison (5); boiled leather horse barding with caparison (5); breeches (2); chitin cow armor (5); chitin dog mesh harness (5); chitin horse armor (5); denim skirt (2); diving boots (4); diving gloves (4); diving socks (4); entry suit (8); faux fur coat (3); faux fur longcoat (3); faux fur pants (3); faux fur vest (3); flame-resistant cowl (5); flame-resistant gloves (5); flame-resistant socks (5); flame-resistant suit (7); fur vest (3); hard arm guards (3); horse tack (4); iron cow armor (5); iron horse armor (5); jeans (5); jumpsuit (4); Kevlar sheet (5); leather longcoat (4); leather skirt (2); long-sleeved jumpsuit (4); neoprene arm sleeves (3); skirt (5); sleeveless faux fur longcoat (3); sleeveless leather longcoat (4); spring suit (3); thermal electric balaclava (4); thermal electric gloves (4); thermal electric socks (4); thermal electric suit (4); western boots (5); wetsuit (4); wetsuit hood (4); work coveralls (4); XL sleeveless faux fur longcoat (3); XL sleeveless leather longcoat (4); XS sleeveless faux fur longcoat (3); XS sleeveless leather longcoat (4)	
Tailoring	Dieselpunk Designs	2-5	tire armor jacket (2); tire bracers (2); tire cuirass (2); tire greaves (2); tire tasset (2); XL tire bracers (2)	Garment Closures; Principles of Leatherworking
Tailoring	Friendly, Humane Fashion	2-5	faux fur boots (1); faux fur coat (2); faux fur gloves (1); faux fur hat (1); faux fur longcoat (2); faux fur pants (2); faux fur vest (2); fur vest (2); sleeveless faux fur longcoat (2); XL sleeveless faux fur longcoat (2); XS sleeveless faux fur longcoat (2)	Furriery
Tailoring	Sew Awesome Monthly	0-1	bikini bottoms (1); bikini top (1); boy shorts (1); briefs (1); compression shorts (2); glove liners (0); leather gloves (0); leggings (2); long underwear bottom (1); panties (1); straw fedora (1); sundress (1); turtleneck (1); turtleneck shirt (1); union suit (0); work gloves (3)	Garment Closures; Skilled Knitting
Tailoring	Sew What? Clothing!	0-3	bikini bottoms (1); bikini top (1); boy shorts (1); briefs (1); buckskin shirt (3); buckskin vest (3); cargo pants (2); cargo shorts (1); compression shorts (2); curved needle (3); denim skirt (2); diving boots (5); diving gloves (5); diving socks (5); electric blanket (2); faux fur gloves (1); fetlock furs (3); fingerless leather gloves (2); fur gloves (1); glove liners (1); hard arm guards (4); horse tack (5); hot pants (3); jean jacket (1); jean vest (1); jeans (3); jorts (3); jumpsuit (5); Kevlar sheet (4); leather dog harness (3); leather gloves (1); leather jacket (3); leather riding jacket (3); leather skirt (2); leather vest (3); leggings (2); long underwear bottom (1); long-sleeved jumpsuit (5); neoprene arm sleeves (4); panties (1); plastic shin guards (4); skirt (3); spring suit (4); straw fedora (1); sundress (1); tailor's kit (3); turtleneck (1); turtleneck shirt (1); union suit (0); wetsuit (5); wetsuit hood (5); work coveralls (5); work gloves (2)	Garment Closures; Stretch Fabric
Tailoring	Sewing Techniques for Designers	3-6	boiled leather cow barding with caparison (4); boiled leather horse barding with caparison (4); breeches (2); buckskin shirt (4); buckskin vest (4); cargo pants (2); chitin cow armor (5); chitin dog mesh harness (5); chitin horse armor (5); curved needle (3); denim skirt (2); diving boots (4); diving gloves (4); diving socks (4); electric blanket (2); faux fur coat (3); faux fur hat (2); faux fur longcoat (3); faux fur pants (3); faux fur vest (3); fetlock furs (2); fingerless leather gloves (2); flame-resistant cowl (5); flame-resistant gloves (5); flame-resistant socks (5); fur vest (3); hard arm guards (3); horse tack (4); hot pants (3); iron cow armor (5); iron horse armor (5); jean jacket (2); jean vest (2); jeans (3); jorts (3); jumpsuit (4); Kevlar sheet (4); leather dog harness (3); leather jacket (4); leather longcoat (4); leather riding jacket (4); leather skirt (2); leather vest (3); long-sleeved jumpsuit (4); neoprene arm sleeves (3); plastic shin guards (3); rollerblades (5); rollerskates (5); rubber cement (5); skirt (3); sleeveless faux fur longcoat (3); sleeveless leather longcoat (4); spring suit (3); straw fedora (0); tailor's kit (3); thermal electric balaclava (3); thermal electric gloves (3); thermal electric socks (3); thermal electric suit (3); union suit (0); western boots (4); wetsuit (4); wetsuit hood (4); work coveralls (4); XL sleeveless faux fur longcoat (3); XL sleeveless leather longcoat (4); XS sleeveless faux fur longcoat (3); XS sleeveless leather longcoat (4)	Garment Closures; Stretch Fabric
Tailoring	Traditional Japanese Kimono	3-6	geta (2); hakama (3); haori (5); kimono (4); straw cloak (6); tabi (2); yukata (3)	
Tailoring	Ye Scots Beuk o Tailorin'	2-5	bagpipes (3); kilt (3); leather kilt (3); utility kilt (4)	
Throwing	Diskobolus	0-1		
Throwing	The Complete Guide to Pitching	0-3		
Unarmed Combat	101 Wrestling Moves	0-3		
Unarmed Combat	MMA Monthly	0-1		
Vehicles	AAA Guide	0-3		
Vehicles	AAA Guide	0-4	ANFO (6); antenna (1); barrel bomb (8); black gunpowder (6); coilgun (6); directional antenna (5); drop-in auto sear (5); dynamite (2); electrohack (3); EMP bomb (5); flamethrower fuel (2); flashbang (7); full-auto varmint pistol (2); full-auto varmint rifle (2); gelled gasoline (2); Glock auto sear plate (5); HE barrel bomb (8); HE keg bomb (8); HE pipe bomb (5); homemade demolition charge (5); improvised bomb (5); improvised HE bomb (5); improvised HE grenade (5); improvised rocket fuel (5); incendiary (0); keg bomb (8); lightning link (3); mixed smokeless gunpowder (0); napalm (7); noise emitter (off) (2); portable soldering iron (1); programmable autopilot (3); radio (3); RDX (10); red phosphorous (3); rocket candy (4); saltpeter (7); small improvised HE grenade (5); smoke bomb (3); soldering iron (2); sprayable toxic gas (3); TEC-9 full auto sear (5); transponder circuit (3); UPS (off) (4); UPS conversion mod (3); white phosphorous (3)	
Vehicles	The Rules of the Road	0-3		
Vehicles	Top Gear magazine	0-1		
Other	cement bag		mortar (2)	
Other	CRC-Merck Handbook, 4th edition		cocaine topical cream (4)	
Other	Machinery's Handbook		fanning mill (1)	
Other	patient treatment records		purifier (7)	
Other	unmarked notebook		mutagen (6); purifier (6)	
Martial Arts Manuals	Beautiful Springtime	Wing Chun		
Martial Arts Manuals	Becoming One with the Tao	Tai Chi		
Martial Arts Manuals	Bōjutsu The Matsumoto System	Bōjutsu		
Martial Arts Manuals	Capoeira 100	Capoeira		
Martial Arts Manuals	Complete Krav Maga	Krav Maga		
Martial Arts Manuals	Essence of Ninjutsu	Ninjutsu		
Martial Arts Manuals	Fior Di Battaglia	Fior Di Battaglia		
Martial Arts Manuals	Historic European Swordfighting	Medieval Swordsmanship		
Martial Arts Manuals	Kerala's Ancient Martial Art	Kalaripayattu		
Martial Arts Manuals	Kodokan Judo	Judo		
Martial Arts Manuals	Las Nueve Reglas de la Montante	Barbaran Montante		
Martial Arts Manuals	Official Taekwondo Training Manual	Taekwondo		
Martial Arts Manuals	Practical Eskrima	Eskrima		
Martial Arts Manuals	Practical Pugilism	Boxing		
Martial Arts Manuals	The Black Snake	Snake Kung Fu		
Martial Arts Manuals	The Book of Five Rings	Niten Ichi-Ryu		
Martial Arts Manuals	The Deaf Leopard	Leopard Kung Fu		
Martial Arts Manuals	The Indonesian Warrior	Silat		
Martial Arts Manuals	The Jade Dragon	Dragon Kung Fu		
Martial Arts Manuals	The Modern Pankratiast	Pankration		
Martial Arts Manuals	The Modern Swordsman	Fencing		
Martial Arts Manuals	The Red Crane	Crane Kung Fu		
Martial Arts Manuals	The Shōtōkan Karate Handbook	Karate		
Martial Arts Manuals	The Spirit of Aikido	Aikido		
Martial Arts Manuals	The Ultimate Guide to Kickboxing	Kickboxing		
Martial Arts Manuals	The Way of the Spear	Sōjutsu		
Martial Arts Manuals	The White Tiger	Tiger Kung Fu		
Martial Arts Manuals	Ultimate Muay Thai	Muay Thai		
Martial Arts Manuals	Zui Quan and You	Zui Quan		
